VARIABLE;DESCRITPION;MIN_VALUE;UNIT;DATA_TYPE;N_CATEGORIES;SOURCE;READ;READ_IF;PREDICTOR;LAGRANGIAN;PAST_OBS;SMOOTH;VARIABILITY;SUM;MEAN;STDDEV;MIN;PERC01;PERC05;PERC25;PERC50;PERC75;PERC95;PERC99;MAX;PC_NONNAN;PC_NONMIN;PC_LT57;PC_CAT
RZC;Rain Rate;0.05;mm h-1;float32;0;RADAR;1;1;1;1;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0
BZC;Probability of hail (POH);0;%;float32;0;RADAR;1;1;1;1;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0
LZC;Vertically integrated liquid (VIL);0.5;kg m-2;float32;0;RADAR;1;1;1;1;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0
MZC;Maximum expected severe hail size (MESHS);0;mm;float32;0;RADAR;1;1;1;1;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0
EZC15;Echotop 15dBZ (ECHOTOP);0;km;float32;0;RADAR;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0
EZC20;Echotop 15dBZ (ECHOTOP);0;km;float32;0;RADAR;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0
EZC45;Echotop 15dBZ (ECHOTOP);0;km;float32;0;RADAR;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0
EZC50;Echotop 15dBZ (ECHOTOP);0;km;float32;0;RADAR;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0
CZC;Highest echo (MAXECHO);-32;dBZ;float32;0;RADAR;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0
HZT;Height of the freezing level (HZERO);0;km;float32;0;RADAR;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
IR_016;SEVIRI Ch03 1.6mu m (Solar);0;%;float32;0;SEVIRI;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
IR_039;SEVIRI Ch04 3.9mu m (Near Infrared);0;K;float32;0;SEVIRI;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
IR_087;SEVIRI Ch07 8.7mu m (Infrared);0;K;float32;0;SEVIRI;1;1;1;1;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0
IR_097;SEVIRI Ch08 9.7mu m (Infrared);0;K;float32;0;SEVIRI;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
IR_108;SEVIRI Ch09 10.8mu m (Infrared);0;K;float32;0;SEVIRI;1;1;1;1;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0
IR_120;SEVIRI Ch10 12.0mu m (Infrared);0;K;float32;0;SEVIRI;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
IR_134;SEVIRI Ch11 13.4mu m (Infrared);0;K;float32;0;SEVIRI;1;1;1;1;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0
VIS006;SEVIRI Ch01 0.6mu m (Solar);0;%;float32;0;SEVIRI;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VIS008;SEVIRI Ch02 0.8mu m (Solar);0;%;float32;0;SEVIRI;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
WV_062;SEVIRI Ch05 6.2mu m (Water Vapour);0;K;float32;0;SEVIRI;1;1;1;1;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0
WV_073;SEVIRI Ch06 7.3mu m (Water Vapour);0;K;float32;0;SEVIRI;1;1;1;1;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0
HRV;SEVIRI Ch12 (Broadband high resolution visible);0;%;float32;0;SEVIRI;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CMA;Cloud mask;nan;Categorical;int8;4;SAFNWC_v2016;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
CT;Cloud type;nan;Categorical;int8;15;SAFNWC_v2016;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
CTTH1;Cloud top pressure (CTP);nan;Pa;float32;0;SAFNWC_v2016;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0
CTTH2;Cloud top height (CTH);nan;m;float32;0;SAFNWC_v2016;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0
CTTH3;Cloud top temperature (CTT);nan;K;float32;0;SAFNWC_v2016;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0
